versao,escalabilidade,processos_mpi,threads_openmp,linhas_dataset,tempo_segundos,speedup,eficiencia,sse_medio,iteracoes_medias
Sequencial,forte,1,1,106497,0.436054,1.0,1.0,9290.065373,61.0
MPI+OpenMP,forte,1,1,106497,0.409926,1.0637,1.0637,9290.065373,61.0
MPI+OpenMP,forte,2,1,106497,0.299929,1.4539,0.7269,9290.065373,61.0
MPI+OpenMP,forte,1,2,106497,0.400838,1.0879,0.5439,9290.065373,61.0
MPI+OpenMP,forte,4,1,106497,0.274249,1.59,0.3975,9290.065373,61.0
MPI+OpenMP,forte,1,4,106497,0.405856,1.0744,0.2686,9290.065373,61.0
MPI+OpenMP,forte,2,2,106497,0.294654,1.4799,0.37,9290.065373,61.0
MPI+OpenMP,forte,8,1,106497,0.285253,1.5287,0.1911,9290.065373,61.0
MPI+OpenMP,forte,1,8,106497,0.414387,1.0523,0.1315,9290.065373,61.0
MPI+OpenMP,forte,4,2,106497,0.327001,1.3335,0.1667,9290.065373,61.0
MPI+OpenMP,forte,16,1,106497,0.357516,1.2197,0.0762,9290.065373,61.0
MPI+OpenMP,forte,1,16,106497,0.42845,1.0177,0.0636,9290.065373,61.0
MPI+OpenMP,forte,8,2,106497,0.297621,1.4651,0.0916,9290.065373,61.0
MPI+OpenMP,forte,32,1,106497,0.396006,1.1011,0.0344,9290.065373,61.0
MPI+OpenMP,forte,1,32,106497,0.467229,0.9333,0.0292,9290.065373,61.0
MPI+OpenMP,forte,16,2,106497,0.250765,1.7389,0.0543,9290.065373,61.0
MPI+OpenMP,forte,32,2,106497,2.718173,0.1604,0.0025,9290.065373,61.0
Sequencial,fraca,1,1,6656,0.020482,1.0,1.0,724.265584,32.0
MPI+OpenMP,fraca,1,1,6656,0.019676,1.041,1.041,724.265584,32.0
CUDA,fraca,,,6656,0.264354,0.0775,0.0775,724.265584,32.0
Sequencial,fraca,1,1,13312,0.039898,1.0,1.0,1167.373491,31.0
MPI+OpenMP,fraca,2,1,13312,0.03358,1.1881,0.5941,1167.373491,31.0
CUDA,fraca,,,13312,0.297314,0.1342,0.1342,1167.373491,31.0
Sequencial,fraca,1,1,26624,0.135615,1.0,1.0,2322.466161,81.0
MPI+OpenMP,fraca,4,1,26624,0.079549,1.7048,0.4262,2322.466161,81.0
CUDA,fraca,,,26624,0.517733,0.2619,0.2619,2322.466161,81.0
Sequencial,fraca,1,1,53248,0.132458,1.0,1.0,4736.367462,20.0
MPI+OpenMP,fraca,8,1,53248,0.139614,0.9487,0.1186,4736.367462,20.0
CUDA,fraca,,,53248,0.403932,0.3279,0.3279,4736.367462,20.0
Sequencial,fraca,1,1,106497,0.432012,1.0,1.0,9290.065373,61.0
MPI+OpenMP,fraca,16,1,106497,0.287792,1.5011,0.0938,9290.065373,61.0
CUDA,fraca,,,106497,0.868585,0.4974,0.4974,9290.065373,61.0
OpenMP-GPU,fraca,,,6656,0.276501,0.0741,0.0741,724.265584,32.0
OpenMP-GPU,fraca,,,13312,0.295092,0.1352,0.1352,1167.373491,31.0
OpenMP-GPU,fraca,,,26624,0.356039,0.3809,0.3809,2322.466161,81.0
OpenMP-GPU,fraca,,,53248,0.433018,0.3059,0.3059,4736.367462,20.0
OpenMP-GPU,fraca,,,106497,0.59035,0.7318,0.7318,9290.065373,61.0
